"user_input_text","sttTime","sentence","gptTimePerSentence","ttsTimePerSentence","avatarPerSentence","avatarPer1SecMean"
"배고파요. 밥 언제 와요?",0.999,"안녕하세요,",2.463,2.07,6.53,6.510027170181274
"배고파요. 밥 언제 와요?",0.999,"태휘 씨!",0.001,1.957,1.497,1.4812984466552734
"배고파요. 밥 언제 와요?",0.999,"배고프시겠어요.",0.001,1.662,2.3,1.1395756006240845
"배고파요. 밥 언제 와요?",0.999,"혹시 어떤 음식을 기다리고 계신가요?",0.001,1.74,2.999,0.989075501759847

"안녕하세요",0.751,"안녕하세요,",2.562,1.704,6.528,6.506902694702148
"안녕하세요",0.751,"태휘 씨.",0.001,1.428,1.542,1.5233964920043945
"안녕하세요",0.751,"만나서 반가워요.",0.001,1.975,2.218,1.0989062786102295
"안녕하세요",0.751,"어떤 이유로 찾아오셨나요?",0.001,0.993,2.109,1.0430411100387573
"안녕하세요.",0.679,"안녕하세요,",2.697,2.621,6.46,6.437439918518066
"안녕하세요.",0.679,"태휘님.",0.001,0.913,1.54,1.5210375785827637
"안녕하세요.",0.679,"오늘 이곳에 오신 이유가 무엇인가요?",0.002,1.055,2.987,0.9875827630360922
"굿",0.641,"태휘님,",1.951,0.86,1.532,1.513575792312622
"굿",0.641,"반갑습니다.",0.001,2.345,1.564,1.5440561771392822
"굿",0.641,"어떤 이야기 나누고 싶으신가요?",0,1.682,3.001,0.9905509948730469
"안녕",0.609,"안녕하세요,",2.372,1.714,6.378,6.354567050933838
"안녕",0.609,"태휘 씨.",0.001,1.665,1.519,1.5023627281188965
"안녕",0.609,"오늘은 어떤 이유로 찾아오셨나요?",0.001,1.04,2.991,0.9865761597951254
"안녕",1.953,"안녕하세요,",2.174,0.848,6.341,6.321836948394775
"안녕",1.953,"태휘 씨.",0.001,1.678,1.476,1.458277940750122
"안녕",1.953,"오늘 어떤 이유로 찾아오셨나요?",0.001,1.695,3.011,0.9954012235005697
"안녕",0.947,"안녕하세요,",2.338,0.771,6.691,6.6641364097595215
"안녕",0.947,"태휘님.",0.001,1.638,1.54,1.5176177024841309
"안녕",0.947,"오늘은 어떤 이유로 찾아오셨나요?",0.001,1.875,3.07,1.013858477274577
"안녕",0.704,"안녕하세요,",2.88,1.317,6.627,6.602146148681641
"안녕",0.704,"태휘 씨.",0.001,1.702,1.512,1.4950551986694336
"안녕",0.704,"오늘은 어떤 이유로 찾아오셨나요?",0.001,1.316,2.936,0.9703556696573893
"안녕",0.892,"안녕하세요,",1.647,1.468,6.951,6.930747985839844
"안녕",0.892,"태휘님.",0.001,1.274,1.515,1.4979703426361084
"안녕",0.892,"만나서 반가워요.",0,1.191,2.282,1.1312414407730103
"안녕",0.892,"어떤 이유로 찾아오셨을까요?",0.002,1.549,2.233,1.1056712865829468
"안녕",0.782,"안녕하세요,",2.237,1.815,6.605,6.586694955825806
"안녕",0.782,"태휘님.",0.001,1.899,1.487,1.4707086086273193
"안녕",0.782,"어떤 이유로 찾아오셨나요?",0.001,1.795,2.245,1.1119084358215332
"안녕",1.465,"안녕하세요,",2.141,1.382,6.312,6.292266130447388
"안녕",1.465,"태휘 씨.",0,1.888,1.444,1.4293158054351807
"안녕",1.465,"오늘은 어떤 이유로 찾아오셨나요?",0.001,2.458,2.914,0.9643726348876953
"안녕",1.007,"안녕하세요,",2.744,0.94,6.809,6.786611080169678
"안녕",1.007,"태휘님!",0,0.783,1.49,1.4702174663543701
"안녕",1.007,"어떤 이유로 찾아오셨을까요?",0.001,3.348,3.016,0.9952893257141113
